Opponent_Hand,Opponent_Rank,Opponent_Age,Player_Age,Player_result,Clay,Grass,Hard,ATP,Grand_Slam,Masters
0,31,27,23,True,0,0,1,1,0,0
1,34,25,23,True,0,0,1,1,0,0
0,2,33,23,False,0,0,1,1,0,0
0,90,30,23,True,0,0,1,0,1,0
0,99,27,23,True,0,0,1,0,1,0
0,78,29,23,True,0,0,1,0,1,0
0,6,27,23,False,0,0,1,0,1,0
0,96,33,23,True,0,0,1,1,0,0
1,37,31,23,False,0,0,1,1,0,0
0,101,22,23,True,0,0,1,1,0,0
0,169,22,23,False,0,0,1,1,0,0
0,37,19,23,True,0,0,1,0,0,1
0,19,32,23,False,0,0,1,0,0,1
0,60,24,23,True,0,0,1,0,0,1
0,24,29,23,False,0,0,1,0,0,1
1,40,31,23,True,1,0,0,0,0,1
0,28,27,23,True,1,0,0,0,0,1
0,9,30,23,True,1,0,0,0,0,1
0,18,28,23,False,1,0,0,0,0,1
0,117,27,23,True,1,0,0,1,0,0
0,107,30,23,True,1,0,0,1,0,0
0,23,29,23,False,1,0,0,1,0,0
1,51,25,23,True,1,0,0,0,0,1
0,31,27,23,True,1,0,0,0,0,1
0,9,30,23,True,1,0,0,0,0,1
1,4,28,23,False,1,0,0,0,0,1
0,46,24,23,True,1,0,0,0,0,1
0,31,27,23,False,1,0,0,0,0,1
0,37,22,24,False,1,0,0,0,1,0
0,38,27,24,True,0,1,0,1,0,0
1,48,32,24,False,0,1,0,1,0,0
1,73,24,24,True,0,1,0,0,1,0
0,52,25,24,True,0,1,0,0,1,0
0,20,29,24,False,0,1,0,0,1,0
1,100,25,24,True,0,0,1,1,0,0
0,55,25,24,False,0,0,1,1,0,0
0,69,26,24,True,0,0,1,0,0,1
0,35,22,24,False,0,0,1,0,0,1
0,57,30,24,True,0,0,1,0,0,1
0,47,25,24,True,0,0,1,0,0,1
0,2,28,24,False,0,0,1,0,0,1
0,131,27,24,True,0,0,1,0,1,0
0,56,27,24,False,0,0,1,0,1,0
0,47,26,24,True,0,0,1,1,0,0
0,74,34,24,False,0,0,1,1,0,0
0,32,26,24,False,0,0,1,1,0,0
0,94,23,24,True,0,0,1,1,0,0
0,73,30,24,True,0,0,1,1,0,0
0,5,30,24,False,0,0,1,1,0,0
0,62,29,24,True,0,0,1,1,0,0
1,7,29,24,False,0,0,1,1,0,0
0,69,24,24,True,0,0,1,0,0,1
0,11,27,24,True,0,0,1,0,0,1
0,8,33,24,False,0,0,1,0,0,1
0,15,31,24,True,0,0,1,1,0,0
0,22,29,24,True,0,0,1,1,0,0
0,3,34,24,False,0,0,1,1,0,0
0,41,30,24,True,0,0,1,1,0,0
0,36,27,24,True,0,0,1,1,0,0
1,38,32,24,True,0,0,1,1,0,0
0,22,29,24,False,0,0,1,1,0,0
0,57,34,24,True,0,0,1,0,1,0
0,210,25,24,True,0,0,1,0,1,0
0,3,34,24,False,0,0,1,0,1,0
0,92,30,24,True,0,0,1,1,0,0
0,88,23,24,True,0,0,1,1,0,0
1,49,27,24,True,0,0,1,1,0,0
0,89,31,24,False,0,0,1,1,0,0
0,64,23,24,True,0,0,1,1,0,0
1,79,26,24,True,0,0,1,1,0,0
0,15,22,24,False,0,0,1,1,0,0
0,58,18,24,False,0,0,1,0,0,1
1,48,25,24,True,0,0,1,0,0,1
0,2,28,24,True,0,0,1,0,0,1
0,16,29,24,False,0,0,1,0,0,1
0,110,24,24,True,1,0,0,0,0,1
0,18,31,24,False,1,0,0,0,0,1
0,194,31,24,True,1,0,0,1,0,0
1,63,22,24,True,1,0,0,1,0,0
0,31,37,24,True,1,0,0,1,0,0
0,87,23,24,False,1,0,0,1,0,0
0,46,24,24,False,1,0,0,0,0,1
0,44,19,24,False,1,0,0,0,0,1
0,24,30,25,False,1,0,0,0,1,0
0,223,27,25,False,0,1,0,1,0,0
0,553,31,25,False,0,1,0,1,0,0
0,112,22,25,True,0,1,0,0,1,0
0,20,31,25,True,0,1,0,0,1,0
0,29,26,25,False,0,1,0,0,1,0
0,82,26,25,False,0,0,1,1,0,0
0,107,27,25,True,0,0,1,0,0,1
1,370,17,25,True,0,0,1,0,0,1
0,27,37,25,True,0,0,1,0,0,1
0,6,26,25,False,0,0,1,0,0,1
0,14,27,25,False,0,0,1,1,0,0
0,31,31,25,True,0,0,1,0,0,1
1,18,34,25,True,0,0,1,0,0,1
0,4,31,25,True,0,0,1,0,0,1
0,23,26,25,True,0,0,1,0,0,1
0,14,27,25,False,0,0,1,0,0,1
0,75,26,25,True,0,0,1,0,1,0
0,55,29,25,True,0,0,1,0,1,0
0,36,27,25,True,0,0,1,0,1,0
0,2,29,25,False,0,0,1,0,1,0
0,73,26,25,True,0,0,1,1,0,0
0,70,24,25,True,0,0,1,1,0,0
1,31,28,25,False,0,0,1,1,0,0
0,23,26,25,True,0,0,1,1,0,0
0,16,22,25,True,0,0,1,1,0,0
1,4,30,25,True,0,0,1,1,0,0
0,6,25,25,True,0,0,1,1,0,0
0,2,29,25,False,0,0,1,1,0,0
0,17,30,25,True,0,0,1,0,0,1
0,131,26,25,False,0,0,1,0,0,1
0,234,28,25,True,0,0,1,1,0,0
0,48,30,25,True,0,0,1,1,0,0
0,63,28,25,False,0,0,1,1,0,0
1,37,33,25,False,0,0,1,1,0,0
0,37,31,25,True,0,0,1,0,0,1
0,1,29,25,False,0,0,1,0,0,1
0,33,27,25,True,0,0,1,1,0,0
0,39,34,25,True,0,0,1,1,0,0
0,8,23,25,True,0,0,1,1,0,0
0,3,26,25,True,0,0,1,1,0,0
0,5,27,25,True,0,0,1,1,0,0
0,231,22,25,True,0,0,1,0,1,0
0,105,20,25,True,0,0,1,0,1,0
0,18,30,25,True,0,0,1,0,1,0
0,117,30,25,True,0,0,1,0,1,0
0,11,26,25,True,0,0,1,0,1,0
1,9,30,25,False,0,0,1,0,1,0
0,267,26,25,True,0,0,1,1,0,0
0,37,30,25,True,0,0,1,1,0,0
0,87,24,25,True,0,0,1,1,0,0
0,11,26,25,True,0,0,1,1,0,0
1,34,29,25,True,0,0,1,1,0,0
0,76,30,25,True,0,0,1,1,0,0
0,11,26,25,False,0,0,1,1,0,0
0,84,34,25,True,0,0,1,0,0,1
0,18,24,25,False,0,0,1,0,0,1
1,158,26,25,False,0,0,1,0,0,1
0,385,34,25,False,1,0,0,1,0,0
0,58,26,25,False,1,0,0,0,0,1
0,37,33,25,True,1,0,0,0,0,1
0,22,38,25,True,1,0,0,0,0,1
0,9,23,25,False,1,0,0,0,0,1
0,34,28,25,False,1,0,0,0,0,1
0,114,37,26,True,1,0,0,0,1,0
0,274,35,26,True,1,0,0,0,1,0
0,21,25,26,False,1,0,0,0,1,0
0,155,26,26,False,0,1,0,1,0,0
0,41,25,26,True,0,1,0,1,0,0
0,87,35,26,True,0,1,0,1,0,0
0,60,21,26,True,0,1,0,1,0,0
1,32,35,26,False,0,1,0,1,0,0
0,37,24,26,True,0,1,0,0,1,0
0,65,32,26,True,0,1,0,0,1,0
0,90,32,26,True,0,1,0,0,1,0
0,5,35,26,False,0,1,0,0,1,0
0,41,22,26,True,0,0,1,1,0,0
0,50,21,26,False,0,0,1,1,0,0
1,26,29,26,True,0,0,1,0,0,1
0,52,30,26,False,0,0,1,0,0,1
1,34,35,26,True,0,0,1,0,0,1
0,30,28,26,True,0,0,1,0,0,1
0,46,28,26,True,0,0,1,0,0,1
0,19,32,26,True,0,0,1,0,0,1
0,23,22,26,True,0,0,1,0,0,1
0,210,23,26,True,0,0,1,0,1,0
0,53,19,26,False,0,0,1,0,1,0
0,36,25,26,True,0,0,1,1,0,0
0,24,29,26,True,0,0,1,1,0,0
0,13,29,26,True,0,0,1,1,0,0
1,1,31,26,False,0,0,1,1,0,0
0,46,25,26,True,0,0,1,0,0,1
0,17,30,26,True,0,0,1,0,0,1
1,1,31,26,False,0,0,1,0,0,1
0,141,26,26,True,0,0,1,1,0,0
1,30,30,26,True,0,0,1,1,0,0
0,27,30,26,True,0,0,1,1,0,0
0,19,29,26,False,0,0,1,1,0,0
0,30,31,26,True,0,0,1,0,0,1
0,14,32,26,False,0,0,1,0,0,1
0,128,28,26,True,0,0,1,1,0,0
0,50,22,26,True,0,0,1,1,0,0
0,21,22,26,False,0,0,1,1,0,0
0,226,24,26,True,0,0,1,0,1,0
0,186,22,26,True,0,0,1,0,1,0
0,32,20,26,True,0,0,1,0,1,0
0,17,22,26,True,0,0,1,0,1,0
0,49,23,26,False,0,0,1,0,1,0
0,41,29,26,True,0,0,1,1,0,0
0,38,25,26,True,0,0,1,1,0,0
0,34,20,26,True,0,0,1,1,0,0
0,7,27,26,True,0,0,1,1,0,0
0,2,36,26,False,0,0,1,1,0,0
0,117,34,26,False,0,0,1,1,0,0
1,39,34,26,False,0,0,1,0,0,1
1,73,22,26,True,0,0,1,0,0,1
0,90,31,26,False,0,0,1,0,0,1
0,82,27,26,True,1,0,0,0,0,1
0,40,34,26,True,1,0,0,0,0,1
0,10,27,26,True,1,0,0,0,0,1
1,1,31,26,False,1,0,0,0,0,1
0,70,33,26,True,1,0,0,1,0,0
0,88,34,26,True,1,0,0,1,0,0
0,11,26,26,False,1,0,0,1,0,0
0,24,27,26,False,1,0,0,0,0,1
0,24,28,26,False,1,0,0,0,0,1
0,182,27,27,True,1,0,0,0,1,0
0,57,21,27,True,1,0,0,0,1,0
1,35,34,27,False,1,0,0,0,1,0
0,29,26,27,True,0,1,0,1,0,0
0,22,31,27,False,0,1,0,1,0,0
0,224,33,27,False,0,1,0,0,1,0
1,31,34,27,True,0,0,1,0,0,1
0,41,20,27,True,0,0,1,0,0,1
0,6,32,27,False,0,0,1,0,0,1
1,44,30,27,True,0,0,1,0,0,1
0,10,31,27,False,0,0,1,0,0,1
0,101,33,27,False,0,0,1,0,1,0
0,59,27,27,True,0,0,1,1,0,0
0,55,28,27,False,0,0,1,1,0,0
0,71,30,27,False,0,0,1,1,0,0
0,25,30,27,True,0,0,1,0,0,1
0,7,30,27,False,0,0,1,0,0,1
0,40,20,27,True,0,0,1,1,0,0
0,91,27,30,True,1,0,0,1,0,0
0,102,35,30,False,1,0,0,1,0,0
0,3,23,30,False,0,0,1,1,0,0
0,74,35,30,True,0,0,1,0,0,1
0,31,25,30,True,0,0,1,0,0,1
0,4,24,30,False,0,0,1,0,0,1
1,56,25,29,False,0,0,1,0,0,1
0,113,23,30,True,0,0,1,0,0,1
0,20,24,30,True,0,0,1,0,0,1
0,2,25,30,True,0,0,1,0,0,1
0,12,24,30,True,0,0,1,0,0,1
1,26,26,30,False,0,0,1,0,0,1
0,41,30,29,True,1,0,0,0,0,1
0,53,34,29,True,1,0,0,0,0,1
1,3,34,29,False,1,0,0,0,0,1
0,48,21,29,False,1,0,0,0,0,1
0,65,27,30,False,0,0,1,1,0,0
0,32,23,30,False,0,0,1,0,0,1
0,16,33,30,True,0,0,1,0,0,1
0,38,24,30,True,0,0,1,0,0,1
0,2,25,30,False,0,0,1,0,0,1
1,34,32,29,True,0,0,1,1,0,0
0,46,21,29,True,0,0,1,1,0,0
0,120,19,29,False,0,0,1,1,0,0
0,54,24,29,False,1,0,0,0,0,1
0,84,27,30,False,1,0,0,0,1,0
1,106,37,30,True,0,1,0,0,1,0
0,38,24,30,False,0,1,0,0,1,0
0,542,22,30,True,0,0,1,0,1,0
0,73,22,30,False,0,0,1,0,1,0
0,43,32,29,True,0,0,1,0,1,0
1,166,28,29,True,0,0,1,0,1,0
0,16,29,29,True,0,0,1,0,1,0
0,3,27,29,True,0,0,1,0,1,0
0,114,27,29,False,0,0,1,0,1,0
0,232,26,29,True,0,0,1,1,0,0
0,114,21,29,True,0,0,1,1,0,0
1,80,21,29,False,0,0,1,1,0,0
0,41,29,30,True,0,0,1,1,0,0
0,901,23,30,True,0,0,1,1,0,0
0,24,28,30,True,0,0,1,1,0,0
0,10,22,30,False,0,0,1,1,0,0
0,11,29,28,False,0,0,1,1,0,0
0,42,29,28,True,0,0,1,1,0,0
0,46,30,28,True,0,0,1,1,0,0
0,52,26,28,True,0,0,1,0,1,0
0,80,22,28,False,0,0,1,0,1,0
0,91,25,28,False,0,0,1,1,0,0
0,21,19,28,False,0,0,1,1,0,0
1,16,20,28,True,0,0,1,1,0,0
1,2,33,28,False,0,0,1,1,0,0
0,16,34,28,True,0,0,1,1,0,0
1,42,31,28,True,0,0,1,1,0,0
0,109,27,28,True,0,0,1,1,0,0
0,84,28,29,False,0,0,1,0,0,1
1,42,22,29,True,0,0,1,0,0,1
0,58,23,29,True,0,0,1,0,1,0
0,66,28,29,False,0,0,1,0,1,0
1,14,21,29,False,1,0,0,0,0,1
0,81,19,29,True,1,0,0,0,0,1
1,50,24,29,True,1,0,0,0,0,1
0,85,25,29,True,1,0,0,0,0,1
0,103,26,29,True,1,0,0,0,1,0
0,102,31,29,True,1,0,0,0,1,0
0,101,27,29,True,1,0,0,0,1,0
0,6,22,29,False,1,0,0,0,1,0
0,33,30,29,False,0,0,1,1,0,0
0,5,22,29,True,0,0,1,1,0,0
0,18,24,29,True,0,0,1,1,0,0
